name,address,website,founders_names,founders_linkedin,batch,year,yc_url,per_company_api
EasyCode,"Toronto, ON, Canada; Remote",https://www.easycode.ai/,"James Jiang; Paul Li; Founded: 2023 Batch: Fall 2025 Team Size: 4 Status: Active Location: Toronto, Canada Primary Partner: Aaron Epstein",https://www.linkedin.com/in/jamesdreamcrafters/; https://www.linkedin.com/in/hey-paul/; https://www.linkedin.com/company/easycodeai/,Fall 2025,2025,https://www.ycombinator.com/companies/easycode,https://yc-oss.github.io/api/batches/fall-2025/easycode.json
Egress Health,,https://tryegress.com,Alex Pedersen; Founded: 2024 Batch: Winter 2025 Team Size: 2 Status: Active Primary Partner: Harj Taggar,https://linkedin.com/in/alex-pedersen-30340915a; https://www.linkedin.com/company/tryegress,Winter 2025,2025,https://www.ycombinator.com/companies/egress-health,https://yc-oss.github.io/api/batches/winter-2025/egress-health.json
Leeroo,,https://www.leeroo.com/,Alireza Mohammadshahi; Majid Yazdani; Batch: Spring 2025 Team Size: 3 Status: Active Primary Partner: Nicolas Dessaigne,https://www.linkedin.com/in/alireza-mohammadshahi/; https://linkedin.com/in/majid-yazdani-a9032011; https://www.linkedin.com/company/leeroo,Spring 2025,2025,https://www.ycombinator.com/companies/leeroo,https://yc-oss.github.io/api/batches/spring-2025/leeroo.json
Atum Works,"Mountain View, CA, USA",https://atum.works/,Lucas Pabarcius; Matteo Kimura; Malcolm Tisdale; Founded: 2024 Batch: Spring 2025 Team Size: 3 Status: Active Location: Mountain View Primary Partner: Garry Tan,https://www.linkedin.com/in/lucas-pabarcius-ba3595167/; https://www.linkedin.com/in/matteo-kimura-90879318b/; https://www.linkedin.com/in/malcolm-tisdale; https://linkedin.com/company/atum-works,Spring 2025,2025,https://www.ycombinator.com/companies/atum-works,https://yc-oss.github.io/api/batches/spring-2025/atum-works.json
Willow,"San Francisco, CA, USA",https://willowvoice.com/,,,Spring 2025,2025,https://www.ycombinator.com/companies/willow,https://yc-oss.github.io/api/batches/spring-2025/willow.json
Stormy AI,"San Francisco, CA, USA",https://stormy.ai,Robert Lukoszko; Founded: 2024 Batch: Summer 2025 Team Size: 5 Status: Active Location: San Francisco Primary Partner: Garry Tan,https://linkedin.com/in/karmedge; https://www.linkedin.com/company/105507409,Summer 2025,2025,https://www.ycombinator.com/companies/stormy-ai,https://yc-oss.github.io/api/batches/summer-2025/stormy-ai.json
Overstand Labs,"San Francisco, CA, USA",https://overstandlabs.com,Mihir Patil; Derrick Cheng; Founded: 2024 Batch: Winter 2025 Team Size: 4 Status: Active Location: San Francisco Primary Partner: Tyler Bosmeny,https://www.linkedin.com/in/mihirnpatil/; https://www.linkedin.com/in/chengderrick; https://www.linkedin.com/company/overstand-labs/,Winter 2025,2025,https://www.ycombinator.com/companies/overstand-labs,https://yc-oss.github.io/api/batches/winter-2025/overstand-labs.json
YouShift,,https://www.you-shift.com/,Lucía Vives Martorell; Jota Chamorro; Adolfo Roquero Gimenez; Founded: 2024 Batch: Winter 2025 Team Size: 3 Status: Active Primary Partner: Tom Blomfield,https://www.linkedin.com/in/luciavivesmartorell/; https://linkedin.com/in/jotachamorro; https://linkedin.com/in/adolfo-roquero-gimenez-a8b853181; https://www.linkedin.com/company/you-shift,Winter 2025,2025,https://www.ycombinator.com/companies/youshift,https://yc-oss.github.io/api/batches/winter-2025/youshift.json
Uncommon Therapeutics,"San Francisco, CA, USA",https://uncommontherapeutics.com,Noah Auerhahn; Ryan Lim,https://www.linkedin.com/in/noahauerhahn/; https://www.linkedin.com/in/ryanlimphd,Winter 2025,2025,https://www.ycombinator.com/companies/uncommon-therapeutics,https://yc-oss.github.io/api/batches/winter-2025/uncommon-therapeutics.json
Exin Therapeutics,"San Francisco, CA, USA",https://www.exintherapeutics.com/,Gabriel Ocana Santero; Ivan Lazarte; Marko Tvrdic; Gabriel; Ivan; Marko; Founded: 2024 Batch: Winter 2025 Team Size: 3 Status: Active Location: San Francisco Primary Partner: Jared Friedman,https://www.linkedin.com/in/gabriel-ocana-santero-85b41819a; https://www.linkedin.com/in/ilazarte; https://www.linkedin.com/in/marko-tvrdic/; https://www.linkedin.com/in/gabriel-ocana-santero-85b41819a/?originalSubdomain=uk; https://www.linkedin.com/in/ilazarte/; https://www.linkedin.com/in/marko-tvrdic/?originalSubdomain=uk; https://www.linkedin.com/company/exin-therapeutics,Winter 2025,2025,https://www.ycombinator.com/companies/exin-therapeutics,https://yc-oss.github.io/api/batches/winter-2025/exin-therapeutics.json
Delineate,"Boston, MA, USA; Remote",https://delineate.pro/,Emily Nieves; Jawad Iqbal; Founded: 2024 Batch: Winter 2025 Team Size: 20 Status: Active Location: Boston Primary Partner: Jared Friedman,https://www.linkedin.com/in/emily-nieves-a67b90144/; https://www.linkedin.com/in/jawad-iqbal/; https://www.linkedin.com/company/delineate-pro/,Winter 2025,2025,https://www.ycombinator.com/companies/delineate,https://yc-oss.github.io/api/batches/winter-2025/delineate.json
Onlook,"San Francisco, CA, USA",https://onlook.com/,Daniel Farrell; Kiet Ho; Onlook on LinkedIn; LinkedIn; Founded: 2024 Batch: Winter 2025 Team Size: 2 Status: Active Location: San Francisco Primary Partner: Aaron Epstein,https://www.linkedin.com/in/danielrfarrell/; https://linkedin.com/in/kiet-ho; https://www.linkedin.com/company/onlook-dev/; https://www.linkedin.com/in/kiet-ho/; https://www.linkedin.com/company/onlook-dev,Winter 2025,2025,https://www.ycombinator.com/companies/onlook,https://yc-oss.github.io/api/batches/winter-2025/onlook.json
Invo,,https://www.tryinvo.com/,Patrick Foster; Founded: 2024 Batch: Winter 2025 Team Size: 2 Status: Active Primary Partner: Jared Friedman,https://linkedin.com/in/patrickrfoster; https://www.linkedin.com/company/invo-ai,Winter 2025,2025,https://www.ycombinator.com/companies/invo,https://yc-oss.github.io/api/batches/winter-2025/invo.json
Autumn,,https://useautumn.com,Ayush Rodrigues; John Yeo; Founded: 2025 Batch: Summer 2025 Team Size: 2 Status: Active Primary Partner: Pete Koomen,https://www.linkedin.com/in/ayushro/; https://www.linkedin.com/in/johnyeocx; https://www.linkedin.com/company/useautumn,Summer 2025,2025,https://www.ycombinator.com/companies/autumn,https://yc-oss.github.io/api/batches/summer-2025/autumn.json
Quantstruct,"San Francisco, CA, USA",https://quantstruct.com,Sarthak Srinivas; Newman Hu; Founded: 2025 Batch: Winter 2025 Team Size: 3 Status: Active Location: San Francisco Primary Partner: Garry Tan,https://linkedin.com/in/sarthaksrinivas; https://www.linkedin.com/in/newmanhu/; https://www.linkedin.com/company/quantstruct,Winter 2025,2025,https://www.ycombinator.com/companies/quantstruct,https://yc-oss.github.io/api/batches/winter-2025/quantstruct.json
Edexia,"San Francisco, CA, USA",https://www.edexia.com/,,,Winter 2025,2025,https://www.ycombinator.com/companies/edexia,https://yc-oss.github.io/api/batches/winter-2025/edexia.json
Enhanced Radar,"San Francisco, CA, USA",https://www.enhancedradar.com/,Eric Button; Kristian Gaylord; Founded: 2024 Batch: Winter 2025 Team Size: 2 Status: Active Location: San Francisco Primary Partner: Garry Tan,https://www.linkedin.com/in/ericjacobbutton/; https://www.linkedin.com/in/kaylord/; https://www.linkedin.com/company/enhanced-radar/?viewAsMember=true,Winter 2025,2025,https://www.ycombinator.com/companies/enhanced-radar,https://yc-oss.github.io/api/batches/winter-2025/enhanced-radar.json
Aviro,"San Francisco, CA, USA",https://www.aviro.ai/,Aarush Kukreja; Ayush Karupakula; Founded: 2024 Batch: Spring 2025 Team Size: 2 Status: Active Location: San Francisco Primary Partner: Garry Tan,https://www.linkedin.com/in/aarush-kukreja/; https://www.linkedin.com/in/ayush-karupakula; https://www.linkedin.com/company/aviro-ai/,Spring 2025,2025,https://www.ycombinator.com/companies/aviro,https://yc-oss.github.io/api/batches/spring-2025/aviro.json
